probe	gene
A_23_P139881	CCND2
A_23_P139895	MGC5370
A_23_P139919	CHST11
A_23_P139929	ERP29
A_23_P140057	TNFRSF19
A_23_P140069	FBXL3
A_23_P140088	RNASEH2B
A_23_P140115	ATP6V1D
A_23_P140170	SEC23A
A_23_P140207	PCK2
A_23_P140241	CHD8
A_23_P140256	NP
A_23_P140301	PSMA3
A_23_P140384	CTSG
A_23_P140394	NFATC4
A_23_P140423	NDUFB1
A_23_P140450	SLC27A2
A_23_P140630	LMAN1L
A_23_P140648	CYFIP1
A_23_P140668	IDH3A
A_23_P140807	PSMB10
A_23_P140821	PARD6A
A_23_P140848	MPHOSPH6
A_23_P140876	ABCA3
A_23_P140916	GLG1
A_23_P140960	NDUFAB1
A_23_P140967	MEFV
A_23_P141005	AMFR
A_23_P141021	AYTL1
A_23_P141029	COX4I1
A_23_P141032	COX4I1
A_23_P141035	CHST4
A_23_P141076	ABCC11
A_23_P141126	GALK1
A_23_P141163	DGKE
A_23_P141173	MPO
A_23_P141248	SRR
A_23_P141306	GLP2R
A_23_P14132	GTF2F2
A_23_P141329	RPS6KB1
A_23_P141362	FZD2
A_23_P141367	CCR10
A_23_P141389	RPL27
A_23_P141405	NME2
A_23_P141434	ACACA
A_23_P141467	CDK5R1
A_23_P141549	RPS7
A_23_P141636	EIF4A3
A_23_P141665	OR1A1
A_23_P141688	RAB31
A_23_P141699	PARD6G
A_23_P141730	DSG2
A_23_P14174	TNFSF13B
A_23_P141847	UBE2M
A_23_P141894	PVR
A_23_P141917	TYK2
A_23_P14193	RFC3
A_23_P141939	OR7G3
A_23_P141974	TPM4
A_23_P142013	XAB2
A_23_P142018	PRPF31
A_23_P142022	PRPF31
A_23_P142075	ACP5
A_23_P142146	RPL18
A_23_P142174	FOXA3
A_23_P142289	GNA11
A_23_P142304	MKNK2
A_23_P142310	MKNK2
A_23_P142325	FZR1
A_23_P142333	FZR1
A_23_P142361	PIK3R2
A_23_P142475	RPS28
A_23_P142506	GADD45B
A_23_P142533	COL3A1
A_23_P142616	BIRC6
A_23_P142724	RPL37A
A_23_P142750	EIF2AK2
A_23_P142815	ATP6V1B1
A_23_P142830	PLA2R1
A_23_P142835	DCTN1
A_23_P14284	VTI1B
A_23_P142872	TCF7L1
A_23_P143047	ATP6V1E2
A_23_P143089	MPV17
A_23_P1431	BMPR1A
A_23_P143120	ADAM17
